defined_class,defined_class_label,chemical,chemical_label,material,material_label,,,,,,,,,,
SRPDIO:1000241,,CHEBI:155866,elemental chromium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000242,,CHEBI:155865,elemental cobalt,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000243,,CHEBI:37404,elemental copper,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000244,,CHEBI:155920,elemental gallium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000245,,CHEBI:33970,elemental gold,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000246,,CHEBI:37114,elemental indium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000247,,CHEBI:82663,elemental iron,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000248,,CHEBI:155921,elemental lanthanum,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000249,,CHEBI:37193,elemental lead,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000250,,CHEBI:155867,elemental lithium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000251,,CHEBI:33973,elemental magnesium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000252,,CHEBI:35115,elemental manganese,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000253,,CHEBI:35113,elemental mercury,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000254,,CHEBI:37237,elemental molybdenum,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000255,,CHEBI:155868,elemental nickel,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000256,,CHEBI:155922,elemental niobium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000257,,CHEBI:33464,elemental phosphorus,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000258,,CHEBI:37247,elemental potassium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000259,,CHEBI:155923,elemental rubidium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000260,,CHEBI:36904,elemental selenium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000261,,CHEBI:37763,elemental silicon,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000262,,CHEBI:33966,elemental silver,SRPDIO:0000001,topsoil,,,,,,,,,,
